Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Job Dropdown Suite,Chrome 109.0.0.0,,,2023-02-06 19:17:31,2023-02-06 19:21:07,3m - 36.350s,ERROR
,,,,,,,
Test Cases/Admin Page/Job/Job Titles/Add Job Title,Chrome 109.0.0.0,,,2023-02-06 19:17:32,2023-02-06 19:18:11,39.636s,PASSED
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:17:33,2023-02-06 19:17:43,9.413s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:17:43,2023-02-06 19:17:43,0.370s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Page/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:17:43,2023-02-06 19:17:50,6.985s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 109.0.0.0,,,2023-02-06 19:17:50,2023-02-06 19:17:53,3.487s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 109.0.0.0,,,2023-02-06 19:17:53,2023-02-06 19:17:56,2.646s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/li_Job Titles""))",Chrome 109.0.0.0,,,2023-02-06 19:17:56,2023-02-06 19:17:58,2.317s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Add""))",Chrome 109.0.0.0,,,2023-02-06 19:17:58,2023-02-06 19:18:02,3.311s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), job_title)",Chrome 109.0.0.0,,,2023-02-06 19:18:02,2023-02-06 19:18:04,2.205s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Job Description""), job_title_description)",Chrome 109.0.0.0,,,2023-02-06 19:18:04,2023-02-06 19:18:06,1.874s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Note""), job_title_notes)",Chrome 109.0.0.0,,,2023-02-06 19:18:06,2023-02-06 19:18:08,1.682s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Save""))",Chrome 109.0.0.0,,,2023-02-06 19:18:08,2023-02-06 19:18:09,1.663s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 109.0.0.0,,,2023-02-06 19:18:09,2023-02-06 19:18:10,0.927s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 109.0.0.0,,,2023-02-06 19:18:10,2023-02-06 19:18:11,0.579s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-02-06 19:18:11,2023-02-06 19:18:11,0.756s,PASSED
,,,,,,,
Test Cases/Admin Page/Job/Job Titles/Edit Job Title,Chrome 109.0.0.0,,,2023-02-06 19:18:11,2023-02-06 19:18:50,38.414s,PASSED
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:18:13,2023-02-06 19:18:18,4.993s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:18:18,2023-02-06 19:18:18,0.156s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Page/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:18:18,2023-02-06 19:18:24,6.520s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 109.0.0.0,,,2023-02-06 19:18:24,2023-02-06 19:18:28,3.824s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 109.0.0.0,,,2023-02-06 19:18:28,2023-02-06 19:18:30,2.260s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/li_Job Titles""))",Chrome 109.0.0.0,,,2023-02-06 19:18:30,2023-02-06 19:18:32,2.053s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/button_Edit""))",Chrome 109.0.0.0,,,2023-02-06 19:18:32,2023-02-06 19:18:35,2.658s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), Keys.chord(CONTROL, ""a""))",Chrome 109.0.0.0,,,2023-02-06 19:18:35,2023-02-06 19:18:38,2.655s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username_selected""), edited_job_title)",Chrome 109.0.0.0,,,2023-02-06 19:18:38,2023-02-06 19:18:39,1.518s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Job Description""), Keys.chord(CONTROL, ""a""))",Chrome 109.0.0.0,,,2023-02-06 19:18:39,2023-02-06 19:18:41,1.590s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Job Description""), edited_job_title_description)",Chrome 109.0.0.0,,,2023-02-06 19:18:41,2023-02-06 19:18:42,1.597s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Note""), Keys.chord(CONTROL, ""a""))",Chrome 109.0.0.0,,,2023-02-06 19:18:42,2023-02-06 19:18:44,1.749s,PASSED
"sendKeys(findTestObject(""Admin Page/Job/Job Titles/textarea_Note""), edited_job_title_notes)",Chrome 109.0.0.0,,,2023-02-06 19:18:44,2023-02-06 19:18:46,1.731s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Skills/button_Save""))",Chrome 109.0.0.0,,,2023-02-06 19:18:46,2023-02-06 19:18:48,1.711s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 109.0.0.0,,,2023-02-06 19:18:48,2023-02-06 19:18:49,1.056s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyUpdated""), 10)",Chrome 109.0.0.0,,,2023-02-06 19:18:49,2023-02-06 19:18:49,0.507s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-02-06 19:18:49,2023-02-06 19:18:50,0.767s,PASSED
,,,,,,,
Test Cases/Admin Page/Job/Job Titles/Delete Job Title,Chrome 109.0.0.0,,,2023-02-06 19:18:50,2023-02-06 19:19:17,27.120s,PASSED
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:18:51,2023-02-06 19:18:55,4.164s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:18:55,2023-02-06 19:18:55,0.149s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Page/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:18:55,2023-02-06 19:19:02,6.126s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 109.0.0.0,,,2023-02-06 19:19:02,2023-02-06 19:19:05,3.836s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 109.0.0.0,,,2023-02-06 19:19:05,2023-02-06 19:19:08,2.509s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/li_Job Titles""))",Chrome 109.0.0.0,,,2023-02-06 19:19:08,2023-02-06 19:19:10,2.425s,PASSED
"click(findTestObject(""Admin Page/Job/Job Titles/button_Delete""))",Chrome 109.0.0.0,,,2023-02-06 19:19:10,2023-02-06 19:19:13,2.463s,PASSED
"click(findTestObject(""Admin Page/Qualifications/Languages/button_Yes, Delete""))",Chrome 109.0.0.0,,,2023-02-06 19:19:13,2023-02-06 19:19:14,1.653s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Chrome 109.0.0.0,,,2023-02-06 19:19:14,2023-02-06 19:19:16,1.196s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullyDeleted""), 10)",Chrome 109.0.0.0,,,2023-02-06 19:19:16,2023-02-06 19:19:16,0.633s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-02-06 19:19:16,2023-02-06 19:19:17,0.706s,PASSED
,,,,,,,
Test Cases/Admin Page/Job/Job Categories/Add Category,Chrome 109.0.0.0,,,2023-02-06 19:19:17,2023-02-06 19:20:08,51.135s,FAILED
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:19:18,2023-02-06 19:19:23,4.821s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:19:23,2023-02-06 19:19:23,0.155s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Page/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:19:23,2023-02-06 19:19:29,6.202s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 109.0.0.0,,,2023-02-06 19:19:29,2023-02-06 19:19:33,3.955s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 109.0.0.0,,,2023-02-06 19:19:33,2023-02-06 19:19:36,2.224s,PASSED
"click(findTestObject(""Admin Page/Job/Job Categories/li_Job Categories""))",Chrome 109.0.0.0,,,2023-02-06 19:19:36,2023-02-06 19:19:38,1.976s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Add""))",Chrome 109.0.0.0,,,2023-02-06 19:19:38,2023-02-06 19:19:40,2.731s,PASSED
"sendKeys(findTestObject(""Admin Page/Qualifications/Skills/textbox_Username""), job_category)",Chrome 109.0.0.0,,,2023-02-06 19:19:40,2023-02-06 19:19:43,2.505s,PASSED
"click(findTestObject(""Admin Page/Nationalities/button_Save""))",Chrome 109.0.0.0,,,2023-02-06 19:19:43,2023-02-06 19:19:44,1.575s,PASSED
"waitForElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 109.0.0.0,,,2023-02-06 19:19:44,2023-02-06 19:19:56,11.220s,PASSED
"verifyElementPresent(findTestObject(""Confirmation messages/message_SuccessSuccessfullySaved""), 10)",Chrome 109.0.0.0,,,2023-02-06 19:19:56,2023-02-06 19:20:08,12.535s,FAILED
,,,,,,,
Test Cases/Admin Page/Job/Job Categories/Edit Category,Chrome 109.0.0.0,,,2023-02-06 19:20:08,2023-02-06 19:20:16,8.102s,ERROR
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:20:09,2023-02-06 19:20:14,4.926s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:20:14,2023-02-06 19:20:14,0.161s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Papge/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:20:14,2023-02-06 19:20:16,1.790s,ERROR
,,,,,,,
Test Cases/Admin Page/Job/Job Categories/Delete Category,Chrome 109.0.0.0,,,2023-02-06 19:20:16,2023-02-06 19:21:07,51.038s,FAILED
openBrowser(baseURL),Chrome 109.0.0.0,,,2023-02-06 19:20:17,2023-02-06 19:20:21,4.784s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-06 19:20:21,2023-02-06 19:20:22,0.157s,PASSED
"orange.keywords.userLogin(findTestObject(""Login Page/textbox_Username""), username, findTestObject(""Login Page/textbox_Password""), password, findTestObject(""Login Page/button_Login""))",Chrome 109.0.0.0,,,2023-02-06 19:20:22,2023-02-06 19:20:27,5.767s,PASSED
"click(findTestObject(""Navigation Sidebar/a_Admin""))",Chrome 109.0.0.0,,,2023-02-06 19:20:27,2023-02-06 19:20:31,3.606s,PASSED
"click(findTestObject(""Admin Page/Job/li_Job""))",Chrome 109.0.0.0,,,2023-02-06 19:20:31,2023-02-06 19:20:34,2.527s,PASSED
"click(findTestObject(""Admin Page/Job/Job Categories/li_Job Categories""))",Chrome 109.0.0.0,,,2023-02-06 19:20:34,2023-02-06 19:20:35,1.969s,PASSED
"click(findTestObject(""Admin Page/Job/Job Categories/button_Delete""))",Chrome 109.0.0.0,,,2023-02-06 19:20:35,2023-02-06 19:21:07,31.830s,FAILED
