Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Home Page Suite,Chrome 110.0.0.0,,,2023-03-06 13:18:34,2023-03-06 13:19:30,55.856s,PASSED
,,,,,,,
Test Cases/Home Page/Search Functionality,Chrome 110.0.0.0,,,2023-03-06 13:18:34,2023-03-06 13:19:02,27.400s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 13:18:34,2023-03-06 13:18:40,5.875s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-06 13:18:40,2023-03-06 13:18:46,5.905s,PASSED
"sendKeys(findTestObject(""Navigation Sidebar/textbox_Search""), ""Admin"")",Chrome 110.0.0.0,,,2023-03-06 13:18:47,2023-03-06 13:18:49,2.237s,PASSED
"click(findTestObject(""Navigation Sidebar/selected_option""))",Chrome 110.0.0.0,,,2023-03-06 13:18:49,2023-03-06 13:18:51,2.165s,PASSED
"verifyElementText(findTestObject(""Home Page/header_title_Homepage""), ""Admin"")",Chrome 110.0.0.0,,,2023-03-06 13:18:51,2023-03-06 13:18:52,1.137s,PASSED
"sendKeys(findTestObject(""Navigation Sidebar/textbox_Search""), ""Directory"")",Chrome 110.0.0.0,,,2023-03-06 13:18:52,2023-03-06 13:18:54,1.475s,PASSED
"click(findTestObject(""Navigation Sidebar/selected_option""))",Chrome 110.0.0.0,,,2023-03-06 13:18:54,2023-03-06 13:18:56,2.055s,PASSED
"verifyElementText(findTestObject(""Home Page/header_title_Homepage""), ""Directory"")",Chrome 110.0.0.0,,,2023-03-06 13:18:56,2023-03-06 13:18:57,1.093s,PASSED
"sendKeys(findTestObject(""Navigation Sidebar/textbox_Search""), ""PIM"")",Chrome 110.0.0.0,,,2023-03-06 13:18:57,2023-03-06 13:18:58,1.452s,PASSED
"click(findTestObject(""Navigation Sidebar/selected_option""))",Chrome 110.0.0.0,,,2023-03-06 13:18:58,2023-03-06 13:19:01,2.150s,PASSED
"verifyElementText(findTestObject(""Home Page/header_title_Homepage""), ""PIM"")",Chrome 110.0.0.0,,,2023-03-06 13:19:01,2023-03-06 13:19:02,1.297s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-06 13:19:02,2023-03-06 13:19:02,0.018s,ERROR
,,,,,,,
Test Cases/Home Page/Sidebar Minimize Functionality,Chrome 110.0.0.0,,,2023-03-06 13:19:02,2023-03-06 13:19:30,28.211s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 110.0.0.0,,,2023-03-06 13:19:02,2023-03-06 13:19:07,5.060s,PASSED
Start setup action : setupTestCase,Chrome 110.0.0.0,,,2023-03-06 13:19:07,2023-03-06 13:19:13,5.637s,PASSED
"verifyElementInViewport(findTestObject(""Navigation Sidebar/textbox_Search""), 10)",Chrome 110.0.0.0,,,2023-03-06 13:19:13,2023-03-06 13:19:15,1.674s,PASSED
"click(findTestObject(""Navigation Sidebar/button_minimize""))",Chrome 110.0.0.0,,,2023-03-06 13:19:15,2023-03-06 13:19:16,1.504s,PASSED
"verifyElementNotInViewport(findTestObject(""Navigation Sidebar/textbox_Search""), 10)",Chrome 110.0.0.0,,,2023-03-06 13:19:16,2023-03-06 13:19:28,11.749s,PASSED
"click(findTestObject(""Navigation Sidebar/button_maximize""))",Chrome 110.0.0.0,,,2023-03-06 13:19:28,2023-03-06 13:19:30,1.434s,PASSED
"verifyElementInViewport(findTestObject(""Navigation Sidebar/textbox_Search""), 10)",Chrome 110.0.0.0,,,2023-03-06 13:19:30,2023-03-06 13:19:30,0.508s,PASSED
Start listener action : sampleAfterTestCase,Chrome 110.0.0.0,,,2023-03-06 13:19:30,2023-03-06 13:19:30,0.004s,ERROR
